customer_id,timing_status,next_review_days,recommended_action,channel,recommended_category,predicted_incremental_net_value,expected_action_cost,reason_codes,segment_name,service_tier,churn_probability,purchase_readiness_30d,category_probability,predicted_clv_180d,investment_ceiling
SYN-001987,act_now,0,service_call,call,Grocery,15.596876769193116,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.845605860079687,0.28558480872814074,0.5246376318129816,236.90588119198722,14.0
SYN-001016,act_now,0,service_call,call,Sports,11.412258999350286,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.8860735882058289,0.19157102124634925,0.31631034783713985,195.45115986200332,12.619727207966653
SYN-001329,act_now,0,service_call,call,Beauty,10.684634909733107,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_category_confidence;high_value_tier,High value at risk,protect,0.7138660046844971,0.28709232985365885,0.7600480537060168,284.6450125765579,16.828736848993938
SYN-000332,act_now,0,service_call,call,Home,10.10038202957051,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.8307007747952013,0.2542582553648446,0.5798450736484846,198.55336333737756,12.591922103307597
SYN-000893,act_now,0,service_call,call,Electronics,9.90682940357714,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,protect,0.7767335723408284,0.4184631213383395,0.48277483375110425,317.0191986719733,20.051783565463705
SYN-000926,act_now,0,service_call,call,Beauty,9.791221116098892,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.8755290734547646,0.2758732956000152,0.6641838909177838,218.8188455157069,12.978499846147145
SYN-002247,act_now,0,service_call,call,Home,9.623804271457715,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.7347144321433782,0.3918511652146687,0.44919423944312803,233.1461955219495,13.747369336913433
SYN-002932,act_now,0,service_call,call,Home,9.35211849432246,4.5,positive_incremental_value;within_customer_investment_ceiling;high_value_tier,High value at risk,protect,0.6979104461252094,0.284115834478864,0.25,266.49833636609554,16.45903603604807
SYN-001891,act_now,0,service_call,call,Home,9.235258597378417,4.5,positive_incremental_value;within_customer_investment_ceiling;high_value_tier,High value at risk,grow,0.6525720178347177,0.4887300672731191,0.5624692380827006,162.28270768469616,9.65482377496615
SYN-001896,act_now,0,service_call,call,Fashion,8.954684257158151,4.5,positive_incremental_value;within_customer_investment_ceiling;high_category_confidence;high_value_tier,High value at risk,grow,0.6321492882400873,0.24387240140433347,0.7327097409969278,254.34541966863662,14.0
SYN-001793,act_now,0,service_call,call,Fashion,8.882967612396714,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,protect,0.9046106347468839,0.23740715628605907,0.42272150469029,272.24836695645024,16.192126967147846
SYN-000131,act_now,0,service_call,call,Beauty,8.813797662812316,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.8705212934487964,0.33440070083019313,0.6421109821303801,148.45042850612478,8.271945303015443
SYN-002617,act_now,0,service_call,call,Grocery,8.558327204251153,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_category_confidence;high_value_tier,High value at risk,grow,0.7480018091010537,0.535022829984733,0.7937860628513453,206.90613042528398,12.303011697809922
SYN-001094,act_now,0,service_call,call,Electronics,8.40800842666655,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.9643688131443955,0.2415658233786228,0.5607083551515275,140.42945173258926,8.835449695885515
SYN-001304,act_now,0,service_call,call,Home,8.285689552542298,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_category_confidence;high_value_tier,High value at risk,grow,0.838570882286176,0.36942435572676574,0.8574056347935322,121.15476943046049,6.970873272313549
SYN-000852,act_now,0,service_call,call,Sports,8.112555860568744,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_category_confidence;high_value_tier,High value at risk,grow,0.7408237589393161,0.17927993683007024,0.7878260564442774,171.7406920528058,10.363401671357417
SYN-002828,act_now,0,service_call,call,Grocery,8.035824135114376,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.8025501021269906,0.4566540201294387,0.5539035583065224,179.09810180391005,10.845980596471083
SYN-001542,act_now,0,service_call,call,Home,7.958447393965747,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,protect,0.815532701308285,0.4672533133986626,0.45345634194207635,262.77952748328744,15.37145690759042
SYN-000756,act_now,0,service_call,call,Sports,7.956476901373602,4.5,positive_incremental_value;within_customer_investment_ceiling;high_value_tier,High value at risk,grow,0.6098308631029588,0.4324884193919408,0.5739607314491804,172.0176965347633,10.598353652424871
SYN-002917,act_now,0,service_call,call,Home,7.956265201448385,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.8243830565085337,0.339706957417474,0.6332360774814055,134.79291453422624,7.680549454077456
SYN-002998,act_now,0,service_call,call,Grocery,7.953848253597009,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_category_confidence;high_value_tier,High value at risk,grow,0.7745426789367941,0.5182766745040365,0.8375719187421422,207.65031919397993,11.977060098756027
SYN-002110,act_now,0,service_call,call,Electronics,7.705042344643296,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.7453356066361334,0.38844534304549455,0.3560752310820595,140.56939766523146,8.385165699105928
SYN-002100,act_now,0,service_call,call,Beauty,7.531424204918613,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.7704034586178241,0.19048559524232933,0.4191149998396842,193.42370265446422,12.067383687688318
SYN-002094,act_now,0,service_call,call,Electronics,7.443091151914642,4.5,positive_incremental_value;within_customer_investment_ceiling;high_category_confidence;high_value_tier,High value at risk,grow,0.5633636032611641,0.5879403452154823,0.7688743135890331,252.5972117154328,14.0
SYN-000644,act_now,0,service_call,call,Fashion,7.367340350272075,4.5,positive_incremental_value;within_customer_investment_ceiling;high_value_tier,High value at risk,grow,0.6348115315562562,0.49787117713060003,0.5287668790711869,139.35439107046565,8.824248608020111
SYN-001124,act_now,0,service_call,call,Sports,7.142554203491555,4.5,positive_incremental_value;within_customer_investment_ceiling;high_value_tier,High value at risk,protect,0.6303458687686626,0.3625581806706365,0.3419953896071868,277.82447754418,16.906520866910334
SYN-000596,act_now,0,service_call,call,Sports,7.039640848011382,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_category_confidence;high_value_tier,High value at risk,grow,0.7866375274483185,0.3857524543280895,0.7280111834255658,140.75806218591197,8.438226971033378
SYN-000851,act_now,0,service_call,call,Electronics,6.787347395503447,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.8649392764059332,0.30349795934729107,0.3489702849314805,124.04802156778577,6.740140457843952
SYN-002785,act_now,0,voucher_10,push,Sports,6.665005074642387,6.518452761485527,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,protect,0.7882492302514092,0.09402911516123175,0.661160447563503,430.58730609074627,24.0
SYN-000828,act_now,0,reminder,email,Sports,6.436105721651518,0.11,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.862349316400906,0.3644810663121402,0.43305931616035453,133.82337433140327,7.344775042639325
SYN-001330,act_now,0,service_call,call,Fashion,6.208411104160737,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.7350148769911611,0.28535393854713764,0.6398641591444737,182.782127301522,10.710636124145218
SYN-002117,act_now,0,service_call,call,Grocery,6.137931671683862,4.5,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_category_confidence;high_value_tier,High value at risk,grow,0.809952187640826,0.3767425845867815,0.770772900265313,131.08541896660083,8.41552298547907
SYN-000925,act_now,0,reminder,email,Home,6.059504128387504,0.11,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.7801697487122136,0.2957054519690154,0.6591755755131163,200.4013062951443,12.174899437367227
SYN-000108,act_now,0,reminder,push,Fashion,5.95492273228221,0.08,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,protect,0.8513604574886509,0.2836497720855152,0.34115793835561514,281.45240782430574,16.388424651132272
SYN-001652,act_now,0,reminder,push,Beauty,5.576936986576491,0.08,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.7700522781382595,0.1494995341846182,0.6366647831800828,234.28782754181472,14.0
SYN-000771,act_now,0,reminder,email,Grocery,5.561889665686433,0.11,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.8175930317385768,0.36436527250141637,0.34903345100304584,140.16833146179647,8.212850616776828
SYN-000146,act_now,0,reminder,push,Sports,5.416872311087937,0.08,positive_incremental_value;within_customer_investment_ceiling;high_category_confidence;high_value_tier,High value at risk,grow,0.6901356651989065,0.25085845324252226,0.758927642494637,185.6409263791421,10.099547826338414
SYN-000767,act_now,0,reminder,push,Sports,5.301135196049727,0.08,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_category_confidence;high_value_tier,High value at risk,grow,0.818126372256167,0.30293500795162703,0.732439565059319,212.85790638708994,12.721961040908733
SYN-000971,act_now,0,reminder,push,Fashion,5.13068547017509,0.08,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_category_confidence;high_value_tier,High value at risk,grow,0.8604529335670821,0.16292639710235576,0.9110570150836351,163.66973256410924,10.660275457956004
SYN-001657,act_now,0,reminder,email,Grocery,5.01266126514485,0.11,positive_incremental_value;within_customer_investment_ceiling;high_churn_risk;high_value_tier,High value at risk,grow,0.8011788689249559,0.2583899525234451,0.5552669243135974,254.01528770450142,14.0
